STDR_YYQU_CD,행정동코드,행정동명,SVC_INDUTY_CD,SVC_INDUTY_CD_NM,STOR_CO,SIMILR_INDUTY_STOR_CO,OPBIZ_STOR_CO,CLSBIZ_STOR_CO,FRC_STOR_CO,CLSBIZ_RT
20213,11440585,도화동,CS100004,양식음식점,16,18,2,0,2,0
20213,11440585,도화동,CS100005,제과점,13,21,0,2,8,10
20213,11440585,도화동,CS100006,패스트푸드점,8,15,2,1,7,7
20213,11440585,도화동,CS100007,치킨전문점,8,20,1,0,12,0
20213,11440585,도화동,CS100008,분식전문점,26,37,2,1,11,3
20213,11440585,도화동,CS100009,호프-간이주점,67,76,1,5,9,7
20213,11440585,도화동,CS100010,커피-음료,37,60,1,2,23,3
20214,11440585,도화동,CS100001,한식음식점,154,170,9,6,16,4
20214,11440585,도화동,CS100002,중식음식점,16,19,0,0,3,0
20214,11440585,도화동,CS100003,일식음식점,16,19,0,1,3,5
20214,11440585,도화동,CS100004,양식음식점,15,17,1,2,2,12
20214,11440585,도화동,CS100005,제과점,11,19,0,2,8,11
20214,11440585,도화동,CS100006,패스트푸드점,7,15,1,1,8,7
20214,11440585,도화동,CS100007,치킨전문점,8,24,5,1,16,4
20214,11440585,도화동,CS100008,분식전문점,28,40,3,0,12,0
20214,11440585,도화동,CS100009,호프-간이주점,64,73,1,4,9,6
20214,11440585,도화동,CS100010,커피-음료,37,61,3,2,24,3
20221,11440585,도화동,CS100001,한식음식점,150,165,3,8,15,5
20221,11440585,도화동,CS100002,중식음식점,15,18,0,1,3,6
20221,11440585,도화동,CS100003,일식음식점,16,19,0,0,3,0
20221,11440585,도화동,CS100004,양식음식점,15,18,1,0,3,0
20221,11440585,도화동,CS100005,제과점,12,21,3,1,9,5
20221,11440585,도화동,CS100006,패스트푸드점,7,15,0,0,8,0
20221,11440585,도화동,CS100007,치킨전문점,8,22,0,2,14,9
20221,11440585,도화동,CS100008,분식전문점,28,39,0,1,11,3
20221,11440585,도화동,CS100009,호프-간이주점,64,73,0,0,9,0
20221,11440585,도화동,CS100010,커피-음료,36,59,0,2,23,3
20222,11440585,도화동,CS100001,한식음식점,151,168,9,6,17,4
20222,11440585,도화동,CS100002,중식음식점,16,20,2,0,4,0
20222,11440585,도화동,CS100003,일식음식점,16,19,1,1,3,5
20222,11440585,도화동,CS100004,양식음식점,15,17,0,1,2,6
20222,11440585,도화동,CS100005,제과점,13,22,2,1,9,5
20222,11440585,도화동,CS100006,패스트푸드점,7,15,0,0,8,0
20222,11440585,도화동,CS100007,치킨전문점,8,21,0,1,13,5
20222,11440585,도화동,CS100008,분식전문점,28,39,3,3,11,8
20222,11440585,도화동,CS100009,호프-간이주점,64,74,2,1,10,1
20222,11440585,도화동,CS100010,커피-음료,36,61,4,2,25,3
20223,11440585,도화동,CS100001,한식음식점,151,168,4,4,17,2
20223,11440585,도화동,CS100002,중식음식점,16,20,0,0,4,0
20223,11440585,도화동,CS100003,일식음식점,15,19,1,1,4,5
20223,11440585,도화동,CS100004,양식음식점,15,17,1,1,2,6
20223,11440585,도화동,CS100005,제과점,13,22,0,0,9,0
20223,11440585,도화동,CS100006,패스트푸드점,8,16,1,0,8,0
20223,11440585,도화동,CS100007,치킨전문점,8,20,1,2,12,10
20223,11440585,도화동,CS100008,분식전문점,28,41,4,2,13,5
20223,11440585,도화동,CS100009,호프-간이주점,65,76,4,2,11,3
20223,11440585,도화동,CS100010,커피-음료,35,60,3,4,25,7
20224,11440585,도화동,CS100001,한식음식점,150,169,2,1,19,1
20224,11440585,도화동,CS100002,중식음식점,16,20,1,1,4,5
20224,11440585,도화동,CS100003,일식음식점,16,22,4,1,6,5
20224,11440585,도화동,CS100004,양식음식점,17,19,3,1,2,5
20224,11440585,도화동,CS100005,제과점,13,22,0,0,9,0
20224,11440585,도화동,CS100006,패스트푸드점,7,15,0,1,8,7
20224,11440585,도화동,CS100007,치킨전문점,8,20,0,0,12,0
20224,11440585,도화동,CS100008,분식전문점,26,37,1,5,11,14
20224,11440585,도화동,CS100009,호프-간이주점,70,80,5,1,10,1
20224,11440585,도화동,CS100010,커피-음료,35,59,0,1,24,2
20231,11440585,도화동,CS100001,한식음식점,148,166,4,7,18,4
20231,11440585,도화동,CS100002,중식음식점,17,20,1,1,3,5
20231,11440585,도화동,CS100003,일식음식점,17,23,1,0,6,0
20231,11440585,도화동,CS100004,양식음식점,18,20,1,0,2,0
20231,11440585,도화동,CS100005,제과점,13,22,0,0,9,0
