quarter,dong_code,dong_name,industry_code,industry_name,monthly_sales,monthly_count
20201,11440565,공덕동,CS300001,슈퍼마켓,2278139892,134131
20201,11440565,공덕동,CS300002,편의점,1691100774,249939
20201,11440565,공덕동,CS300004,핸드폰,126693301,9450
20201,11440565,공덕동,CS300006,미곡판매,6574366,234
20201,11440565,공덕동,CS300007,육류판매,757644076,21939
20201,11440565,공덕동,CS300008,수산물판매,30207555,1184
20201,11440565,공덕동,CS300009,청과상,103876130,3787
20201,11440565,공덕동,CS300010,반찬가게,622628279,20597
20201,11440565,공덕동,CS300011,일반의류,104156309,851
20201,11440565,공덕동,CS300014,신발,1120984,15
20201,11440565,공덕동,CS300016,안경,47362159,414
20201,11440565,공덕동,CS300017,시계및귀금속,8067912,163
20201,11440565,공덕동,CS300018,의약품,2777879599,244912
20201,11440565,공덕동,CS300021,문구,28045920,1603
20201,11440565,공덕동,CS300022,화장품,158123919,905
20201,11440565,공덕동,CS300024,운동/경기용품,1200928,221
20201,11440565,공덕동,CS300028,화초,68698614,1543
20201,11440565,공덕동,CS300029,애완동물,29585085,996
20201,11440565,공덕동,CS300031,가구,4426373444,6436
20201,11440565,공덕동,CS300033,철물점,70487084,3491
20201,11440565,공덕동,CS300036,조명용품,313716090,14610
20201,11440565,공덕동,CS300043,전자상거래업,2428748,63
20202,11440565,공덕동,CS100001,한식음식점,9362458202,244262
20202,11440565,공덕동,CS100002,중식음식점,91852241,4249
20202,11440565,공덕동,CS100003,일식음식점,686675975,11934
20202,11440565,공덕동,CS100004,양식음식점,493731480,7783
20202,11440565,공덕동,CS100005,제과점,422497266,21006
20202,11440565,공덕동,CS100006,패스트푸드점,238229422,8232
20202,11440565,공덕동,CS100007,치킨전문점,212867788,7667
20202,11440565,공덕동,CS100008,분식전문점,437516160,44352
20202,11440565,공덕동,CS100009,호프-간이주점,1232940981,29035
20202,11440565,공덕동,CS100010,커피-음료,712673554,139548
20202,11440565,공덕동,CS200001,일반교습학원,141707788,579
20202,11440565,공덕동,CS200003,예술학원,25463359,182
20202,11440565,공덕동,CS200005,스포츠 강습,53674558,158
20202,11440565,공덕동,CS200006,일반의원,3709768588,122950
20202,11440565,공덕동,CS200007,치과의원,1922816180,12847
20202,11440565,공덕동,CS200008,한의원,609284549,15971
20202,11440565,공덕동,CS200016,당구장,73443520,4504
20202,11440565,공덕동,CS200019,PC방,66829018,13386
20202,11440565,공덕동,CS200024,스포츠클럽,248448965,454
20202,11440565,공덕동,CS200025,자동차수리,502794098,3632
20202,11440565,공덕동,CS200026,자동차미용,124502176,3165
20202,11440565,공덕동,CS200028,미용실,428939509,11321
20202,11440565,공덕동,CS200030,피부관리실,254855767,617
20202,11440565,공덕동,CS200031,세탁소,59933062,3956
20202,11440565,공덕동,CS200034,여관,9361966,272
20202,11440565,공덕동,CS200037,노래방,142012550,2688
20202,11440565,공덕동,CS300001,슈퍼마켓,2297055616,140869
20202,11440565,공덕동,CS300002,편의점,1868469546,280696
20202,11440565,공덕동,CS300004,핸드폰,196809194,11777
20202,11440565,공덕동,CS300006,미곡판매,102342778,1621
20202,11440565,공덕동,CS300007,육류판매,674447136,21596
20202,11440565,공덕동,CS300008,수산물판매,22340205,1009
20202,11440565,공덕동,CS300009,청과상,276841701,8855
20202,11440565,공덕동,CS300010,반찬가게,621976626,23700
20202,11440565,공덕동,CS300011,일반의류,152206193,1278
20202,11440565,공덕동,CS300014,신발,1484256,4
20202,11440565,공덕동,CS300016,안경,36138860,352
20202,11440565,공덕동,CS300017,시계및귀금속,17307301,366
20202,11440565,공덕동,CS300018,의약품,3178192990,260094
20202,11440565,공덕동,CS300021,문구,10780684,872
20202,11440565,공덕동,CS300022,화장품,177755302,1171
20202,11440565,공덕동,CS300024,운동/경기용품,1997973,164
20202,11440565,공덕동,CS300028,화초,86276044,2073
20202,11440565,공덕동,CS300029,애완동물,33313554,1100
20202,11440565,공덕동,CS300031,가구,4614914935,7645
20202,11440565,공덕동,CS300033,철물점,45798408,1981
20202,11440565,공덕동,CS300035,인테리어,15125659,628
20202,11440565,공덕동,CS300036,조명용품,204832322,12807
20202,11440565,공덕동,CS300043,전자상거래업,2006356,58
